city,state,population,land_area,pop_density,longitude,latitude
Cambridge,Massachusetts,118403,278784.0,0.4247123220844812,-71.12,42.38
Broken Arrow,Oklahoma,113540,2744280.0,0.04137332925211713,-95.78,36.04
Clearwater,Florida,117292,1136916.0,0.1031668126756946,-82.77,27.98
West Jordan,Utah,116961,1406987.9999999998,0.08312864075599793,-112.0,40.6
Evansville,Indiana,117298,2064744.0,0.056809948351950655,-87.53,37.99
League City,Texas,114392,2234628.0,0.05119062322677421,-95.11,29.49
Antioch,California,115291,1271952.0,0.09064099903140999,-121.8,37.98
Manchester,New Hampshire,115644,1441836.0,0.08020607059332684,-71.44,42.98
High Point,North Carolina,114059,2456784.0,0.046426140841034455,-79.99,35.99
Waterbury,Connecticut,114403,1241460.0,0.09215198234336991,-73.04,41.56
Westminster,Colorado,116317,1376496.0,0.08450224337738722,-105.06,39.88
Richmond,California,116448,1311156.0,0.08881323046227908,-122.36,37.95
Carlsbad,California,114746,1646567.9999999998,0.06968798130414293,-117.28,33.13
Las Cruces,New Mexico,111385,3349764.0000000005,0.03325159623185394,-106.79,32.33
Murrieta,California,110949,1463616.0,0.07580471927062836,-117.19,33.57
Lowell,Massachusetts,115554,592416.0,0.19505550153945875,-71.32,42.64
Provo,Utah,115162,1816452.0000000002,0.06339941820648164,-111.65,40.25
Springfield,Illinois,114394,2661516.0,0.04298076735214066,-89.64,39.79
Elgin,Illinois,114797,1655280.0,0.06935201295249142,-88.33,42.04
Odessa,Texas,114428,2225916.0,0.05140715103355203,-102.35,31.88
Lansing,Michigan,112644,1703196.0,0.06613683921286805,-84.56,42.71
Pompano Beach,Florida,112046,1045440.0,0.10717592592592592,-80.13,26.24
Beaumont,Texas,115282,3593700.0,0.03207891588056877,-94.15,30.08
Temecula,California,110003,1624787.9999999998,0.06770298648192873,-117.13,33.49
Gresham,Oregon,114247,1023660.0,0.11160639274759197,-122.44,45.5
Allen,Texas,104627,1149984.0,0.09098126582630715,-96.67,33.11
Pueblo,Colorado,111876,2413224.0,0.04635955883084206,-104.61,38.27
Everett,Washington,110629,1446192.0000000002,0.07649675838339583,-122.19,47.95
South Fulton,Georgia,107436,3711312.0,0.028948253340058717,-84.57,33.66
Peoria,Illinois,113150,2090880.0,0.05411597030915213,-89.62,40.75
Nampa,Idaho,100200,1459260.0,0.06866493976398996,-116.56,43.58
Tuscaloosa,Alabama,99600,2696364.0,0.036938632914547145,-87.53,33.23
Miami Gardens,Florida,111640,792792.0,0.14081877718241353,-80.24,25.95
Santa Maria,California,109707,993168.0,0.11046167415784641,-120.44,34.93
Downey,California,114355,540144.0,0.21171206196866021,-118.13,33.94
Concord,North Carolina,105240,2766060.0,0.03804689703043318,-80.64,35.39
Ventura[aa],California,110763,953963.9999999999,0.11610815502471793,-119.25,34.27
Costa Mesa,California,111918,688248.0,0.16261289535167556,-117.91,33.67
Sugar Land,Texas,111026,1764180.0,0.06293348751261209,-95.63,29.59
Menifee,California,102527,2025540.0,0.05061711938544783,-117.18,33.69
Tyler,Texas,105995,2504700.0,0.042318441330299036,-95.31,32.32
Sparks,Nevada,108445,1585584.0,0.06839435816708545,-119.72,39.57
Greeley,Colorado,108795,2130084.0,0.051075450545612286,-104.77,40.41
Rio Rancho,New Mexico,104046,4504104.0,0.023100265890840885,-106.7,35.29
Sandy Springs,Georgia,108080,1642212.0000000002,0.0658136708293448,-84.37,33.93
Dearborn,Michigan,109976,1054152.0,0.10432651078781807,-83.21,42.31
Jurupa Valley,California,105053,1868724.0,0.05621643431560787,-117.47,34.0
Edison,New Jersey,107588,1311156.0,0.08205583469854083,-74.35,40.5
Spokane Valley,Washington,102976,1642212.0000000002,0.06270566772134169,-117.23,47.66
Hillsboro,Oregon,106447,1119492.0,0.09508509216680423,-122.94,45.53
Davie,Florida,105691,1520244.0,0.06952239245805279,-80.28,26.08
Green Bay,Wisconsin,107395,1981980.0,0.05418571327662237,-87.99,44.52
Centennial,Colorado,108418,1293732.0,0.08380251860508978,-104.87,39.59
Buckeye,Arizona,91502,17119080.0,0.005345030223586782,-112.64,33.43
Boulder,Colorado,108250,1145628.0,0.09448965981976698,-105.25,40.02
Goodyear,Arizona,95294,8333028.000000001,0.011435699004011505,-112.37,33.25
El Monte,California,109450,418176.0,0.26173190235690236,-118.03,34.07
West Covina,California,109501,696960.0,0.1571123163452709,-117.91,34.06
Brockton,Massachusetts,105643,927828.0,0.11386054311790547,-71.02,42.08
New Braunfels,Texas,90403,1968912.0000000002,0.045915205961465005,-98.12,29.7
El Cajon,California,106215,631620.0,0.1681628194167379,-116.96,32.8
Edinburg,Texas,100243,1947132.0000000002,0.05148238537500282,-98.16,26.32
Renton,Washington,106785,1023660.0,0.10431686302092491,-122.19,47.48
Burbank,California,107337,753588.0,0.14243459290753038,-118.33,34.19
Inglewood,California,107762,396396.0,0.2718544082180446,-118.34,33.96
Rialto,California,104026,1049796.0,0.09909163304108608,-117.39,34.12
Lee's Summit,Missouri,101108,2783484.0,0.03632426124957068,-94.38,38.92
Bend,Oregon,99178,1463616.0,0.06776230923958197,-121.31,44.06
Woodbridge,New Jersey,103639,1014948.0,0.10211262054804777,-74.29,40.56
South Bend,Indiana,103453,1829520.0,0.05654652586470768,-86.27,41.68
Wichita Falls,Texas,102316,3136320.0,0.03262294663809815,-98.53,33.91
St. George,Utah,95342,3419460.0,0.027882180227287348,-113.56,37.08
Fishers,Indiana,98977,1550736.0,0.0638258220612664,-85.97,39.96
Carmel,Indiana,99757,2138796.0,0.04664166194438366,-86.15,39.97
Vacaville,California,102386,1302444.0,0.07861067347233355,-121.97,38.36
Quincy,Massachusetts,101636,723096.0000000001,0.14055671722703483,-71.01,42.26
Conroe,Texas,89956,3136320.0,0.028682022242628304,-95.49,30.32
Chico,California,101475,1485396.0,0.06831511596907491,-121.82,39.76
San Mateo,California,105661,527076.0,0.2004663464092465,-122.31,37.56
Lynn,Massachusetts,101253,466091.99999999994,0.21723822764604417,-70.96,42.47
Albany,New York,99224,932183.9999999999,0.10644250491319311,-73.8,42.67
Hesperia,California,99818,3166812.0,0.03152002708086239,-117.32,34.4
New Bedford,Massachusetts,101079,871200.0,0.11602272727272728,-70.94,41.66
Davenport,Iowa,101724,2779128.0,0.03660284808760158,-90.6,41.56
Daly City,California,104901,331056.0,0.3168678410903291,-122.47,37.69
